accver	taxid	country	collection_date
MN052861.1	714978	China	2018-04-25
MK123981.1	714978	China	2012-12-31
MK123980.1	714978	China	2012-12-31
MK123979.1	714978	China	2010-12-31
MK123978.1	714978	China: Guangzhou	2018-05-31
KY471322.1	714978	South Korea	NA
KY471321.1	714978	South Korea	NA
KY471320.1	714978	South Korea	NA
KY471319.1	714978	South Korea	NA
KY471318.1	714978	South Korea	NA
KP896483.1	714978	China	2013-02-24
KP896478.1	714978	China	2012-02-10
KX289874.1	714978	China	2015-11-11
KY780932.1	714978	China	2016-05-31
KY780931.1	714978	China	2016-05-31
KY070248.1	714978	China	2016-06-29
KX494979.1	714978	South Korea	2016-02-22
KP279748.1	714978	China	2012-04-17
KC857701.1	714978	China	2012-04-25
KF908851.1	714978	China	2013-01-13
KJ883522.1	714978	China	2011-12-04
KJ883521.1	714978	China	2013-04-06
KJ883520.1	714978	China	2013-04-05
KC999882.1	714978	China	2011-12-11
JX423384.1	108098	Argentina	2004-12-31
JX123029.1	714978	China	2012-01-07
JX123028.1	714978	China	2011-04-21
JX123027.1	714978	China	2010-08-17
FJ643676.1	714978	China: Shanxi, Qishan	2006-03-31
DQ874353.2	714978	China	NA
KM458628.1	714978	China	2012-12-31
KC551973.1	714978	China	2012-05-30
JX491639.1	714978	China	2011-03-23
JX128105.1	1222019	China	2009-01-31
FJ841905.1	343463	Taiwan	2001-12-31
FJ841899.1	343463	USA	1996-12-31
FJ597732.1	343463	Singapore	2005-05-25
KY002685.1	1907210	China	2016-06-07
JX423385.1	108098	Egypt	2001-04-30
KP896484.1	714978	China	2013-01-14
FJ841900.1	343463	Spain	1968-12-31
KF268121.1	108098	USA: Wisconsin	2005-07-31
EF011630.1	108098	USA	NA
AB330092.1	10541	NA	NA
AY598970.1	108098	NA	NA
AF532578.1	10541	NA	NA
AY163756.1	10541	NA	NA
JX034750.1	565303	Argentina	NA
KT970440.1	108098	Argentina	2000-08-31
KT970442.1	108098	USA: New York	2012-04-14
KT970441.1	108098	USA: Pennsylvania	2013-09-30
JX120173.1	108098	China	2011-05-16
JX120172.1	108098	China	2011-05-08
JX120177.1	108098	China	2011-04-30
AB052912.2	10522	Japan	NA
KF268124.1	108098	USA: Iowa	2004-11-30
AB330116.1	10522	NA	NA
AY271307.1	10522	NA	NA
AY128640.2	10522	NA	NA
FJ841902.1	10521	Netherlands	1973-12-31
AY803294.1	10521	NA	NA
DQ149612.1	10521	NA	NA
AB330095.1	10521	NA	NA
MF062484.1	10521	China	2010-09-08
