accver	taxid	isolate	host	genotype	country	isolation_source	collection_date	strain	serotype	group	old_name	type	collected_by	gb_acronym	note	lab_host	subtype1	acronym	note.1	NA.	clone	map	cell_line	lat_lon	segment	identified_by	culture_collection	serogroup	subgroup	tissue_lib	tissue_type	acronym.1	variety
MN052861.1	714978	B55 YZ2018-01	Homo sapiens	55	China	throat swab	2018-04-25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MK123981.1	714978	NA	Homo sapiens	NA	China	NA	2012-12-31	TY26	55	B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MK123980.1	714978	NA	Homo sapiens	NA	China	NA	2012-12-31	TY12	55	B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MK123979.1	714978	Shanxi-Y16	Homo sapiens	NA	China	throat swab	2010-12-31	NA	55	B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MK123978.1	714978	NA	Homo sapiens	NA	China: Guangzhou	a child with ARD	2018-05-31	267	55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KY471322.1	714978	NA	Homo sapiens	NA	South Korea	NA	NA	AFMC 16-0035	55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KY471321.1	714978	NA	Homo sapiens	NA	South Korea	NA	NA	AFMC 16-0081	55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KY471320.1	714978	NA	Homo sapiens	NA	South Korea	NA	NA	AFMC 16-0074	55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KY471319.1	714978	NA	Homo sapiens	NA	South Korea	NA	NA	AFMC 16-0094	55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KY471318.1	714978	NA	Homo sapiens	NA	South Korea	NA	NA	AFMC 16-0007	55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KP896483.1	714978	NA	Homo sapiens	B55	China	nasopharyngeal aspirates	2013-02-24	Liaoning/LS01/2013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KP896478.1	714978	NA	Homo sapiens	B55	China	nasopharyngeal aspirates	2012-02-10	Hebei/BD01/2012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KX289874.1	714978	JS201501	Homo sapiens	NA	China	NA	2015-11-11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KY780932.1	714978	80-GD_CHN_2016	Homo sapiens	NA	China	NA	2016-05-31	NA	NA	NA	Human adenovirus B55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KY780931.1	714978	100-GD_CHN_2016	Homo sapiens	NA	China	NA	2016-05-31	NA	NA	NA	Human adenovirus B55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KY070248.1	714978	60-GD-2016	Homo sapiens	NA	China	NA	2016-06-29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KX494979.1	714978	NA	Homo sapiens	NA	South Korea	NA	2016-02-22	AFMC 16-0011	55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KP279748.1	714978	NA	Homo sapiens	NA	China	A549 cells	2012-04-17	human/CHN/AQ-1/2012/55[P14/H11/F14]	NA	NA	NA	55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KC857701.1	714978	NA	Homo sapiens	55	China	throat swab	2012-04-25	HAdV B55 XZ2012-492	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KF908851.1	714978	NA	Homo sapiens; male	55	China	nasal/throat swab from human respiratory tract	2013-01-13	TJ-2013-90	NA	B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KJ883522.1	714978	Shanxi/QZ01/2011	Homo sapiens	NA	China	swab	2011-12-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KJ883521.1	714978	Hebei/BD6729/2013	Homo sapiens	NA	China	swab	2013-04-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KJ883520.1	714978	Hebei/BD6728/2013	Homo sapiens	NA	China	swab	2013-04-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
